// Melia
// Database file
// 
// Values: id, className, name, [quest]
//---------------------------------------------------------------------------

[
{ id: 1, className: "ssn_none", name: "" },
{ id: 2, className: "SSN_QUESTREWARD_HITME", name: "Quest Hitme Reward" },
{ id: 5, className: "SSN_DROPITEM_COLLECTINGQUEST", name: "Collection Request of Magic Association",  quest: { name: "DROPITEM_COLLECTINGQUEST" } },
{ id: 6, className: "SSN_NUMBER_MIXING", name: "Gimmick Number Combination" },
{ id: 7, className: "SSN_DROPITEM_REQUEST1", name: "Mercenary Post Receptionist",  quest: { name: "DROPITEM_REQUEST1" } },
{ id: 8, className: "SSN_GUILD_QUEST_WEEK1", name: "Guild Foundation",  quest: { name: "GUILD_QUEST_WEEK1", infoName: [ "Guild Quest Contribution" ], infoViewType: [ "Gauge/FAED7D00" ], infoMaxCount: [ 200 ] } },
{ id: 100, className: "ssn_mon_return", name: "Run away from the monster-safe area" },
{ id: 101, className: "SSN_HATE_AROUND", name: "Make " },
{ id: 102, className: "SSN_ATTACH_EFF", name: "Attached Effect" },
{ id: 103, className: "SSN_TRAP_BOX", name: "Trap Box" },
{ id: 104, className: "SSN_CMINE_DIARY", name: "Crystal Mine Diary" },
{ id: 105, className: "SSN_SIAUL_WEST_HQ01_INFO", name: "Bulletin Board" },
{ id: 106, className: "SSN_WOOD_CARVING", name: "Scarecrow" },
{ id: 107, className: "SSN_RIVIVAL", name: "Resurrection" },
{ id: 108, className: "SSN_PASSWORD", name: "Create code" },
{ id: 109, className: "SSN_RESTMODE_CHECK", name: "Rest Mode" },
{ id: 506, className: "SSN_JOB_BOCORS1", name: "Introduction of the Soul [Bokor Advancement]",  quest: { name: "JOB_BOCORS1", infoName: [ "Pawndel Soul Crystal", "Pawnd Mind Crystal" ], infoMaxCount: [ 10, 10 ], monsterNameGroup: [ "Pawndel", "pawnd" ], monsterView: [ 1, 1 ] } },
{ id: 1001, className: "SSN_SIAUL_WEST_MEET_TITAS", name: "[Tutorial] Talk to Knight Titas (1)",  quest: { name: "SIAUL_WEST_MEET_TITAS" } },
{ id: 1003, className: "SSN_SIAUL_WEST_DRASIUS1", name: "First Soldier",  quest: { name: "SIAUL_WEST_DRASIUS1" } },
{ id: 1004, className: "SSN_SIAUL_WEST_DRASIUS2", name: "Request from Drasius",  quest: { name: "SIAUL_WEST_DRASIUS2" } },
{ id: 1014, className: "SSN_SIAUL_WEST_MEET_NAGLIS", name: "Second Soldier",  quest: { name: "SIAUL_WEST_MEET_NAGLIS" } },
{ id: 1015, className: "SSN_SIAUL_WEST_LAIMONAS1", name: "Laimonas' Favor",  quest: { name: "SIAUL_WEST_LAIMONAS1", infoName: [ "Offer worship to the Statue of Goddess Zemyna" ], infoMaxCount: [ 1 ] } },
{ id: 1018, className: "SSN_SIAUL_WEST_LAIMONAS4", name: "Advice of Laimonas (4)",  quest: { name: "SIAUL_WEST_LAIMONAS4" } },
{ id: 1019, className: "SSN_SIAUL_WEST_WOOD_SPIRIT", name: "To Klaipeda",  quest: { name: "SIAUL_WEST_WOOD_SPIRIT" } },
{ id: 1020, className: "SSN_SIAUL_WEST_SOLDIER3", name: "Third Soldier",  quest: { name: "SIAUL_WEST_SOLDIER3" } },
{ id: 1021, className: "SSN_SIAUL_WEST_HAMING_LEAF", name: "For Combat Soldier (3)",  quest: { name: "SIAUL_WEST_HAMING_LEAF", monsterNameGroup: [ "Hanaming" ], monsterView: [ 1 ] } },
{ id: 1022, className: "SSN_SIAUL_WEST_BOSS_GOLEM", name: "Collect the stone parts",  quest: { name: "SIAUL_WEST_BOSS_GOLEM" } },
{ id: 1023, className: "SSN_SIAUL_WEST_ONION_BIG", name: "Defeat the Large Kepa",  quest: { name: "SIAUL_WEST_ONION_BIG" } },
{ id: 1031, className: "SSN_SIAUL_EAST_CAMP4", name: "Rescuing Aras (4)",  quest: { name: "SIAUL_EAST_CAMP4" } },
{ id: 1032, className: "SSN_SIAUL_EAST_RECLAIM1", name: "Rescuing Aras (5)",  quest: { name: "SIAUL_EAST_RECLAIM1" } },
{ id: 1033, className: "SSN_SIAUL_EAST_RECLAIM2", name: "Sentinel's Favor (1)",  quest: { name: "SIAUL_EAST_RECLAIM2" } },
{ id: 1034, className: "SSN_SIAUL_EAST_RECLAIM3", name: "Sentinel's Favor (2)",  quest: { name: "SIAUL_EAST_RECLAIM3" } },
{ id: 1036, className: "SSN_SIAUL_EAST_RECLAIM6", name: "Recapture the Eastern Woods (3)",  quest: { name: "SIAUL_EAST_RECLAIM6", monsterNameGroup: [ "Chupacabra_Blue" ], monsterView: [ 1 ] } },
{ id: 1037, className: "SSN_SIAUL_EAST_RECLAIM7", name: "Recapture the Eastern Woods (4)",  quest: { name: "SIAUL_EAST_RECLAIM7" } },
{ id: 1038, className: "SSN_SIAUL_EAST_REQUEST1", name: "Aras' Commission (1)",  quest: { name: "SIAUL_EAST_REQUEST1", infoName: [ "Find a clue from Popolions" ], infoMaxCount: [ 1 ], monsterNameGroup: [ "Popolion_Blue" ], monsterView: [ 1 ] } },
{ id: 1039, className: "SSN_SIAUL_EAST_REQUEST2", name: "Aras' Commission (2)",  quest: { name: "SIAUL_EAST_REQUEST2" } },
{ id: 1040, className: "SSN_SIAUL_EAST_REQUEST3", name: "Aras' Commission (3)",  quest: { name: "SIAUL_EAST_REQUEST3" } },
{ id: 1041, className: "SSN_SIAUL_EAST_REQUEST4", name: "Supply Soldier's Favor (1)",  quest: { name: "SIAUL_EAST_REQUEST4" } },
{ id: 1042, className: "SSN_SIAUL_EAST_REQUEST5", name: "Supply Soldier's Favor (2)",  quest: { name: "SIAUL_EAST_REQUEST5" } },
{ id: 1043, className: "SSN_SIAUL_EAST_REQUEST6", name: "Commission of Aras (4)",  quest: { name: "SIAUL_EAST_REQUEST6" } },
{ id: 1044, className: "SSN_SIAUL_EAST_REQUEST7", name: "Enter the Miners' Village",  quest: { name: "SIAUL_EAST_REQUEST7" } },
{ id: 1045, className: "SSN_MINE_3_RESQUE1", name: "Rescue the Villagers",  quest: { name: "MINE_3_RESQUE1" } },
{ id: 1047, className: "SSN_MINE_3_RESQUE3", name: "Netherbovine's Attack",  quest: { name: "MINE_3_RESQUE3" } },
{ id: 1048, className: "SSN_MINE_3_BOSS", name: "Demons of the Closed Area",  quest: { name: "MINE_3_BOSS" } },
{ id: 1053, className: "SSN_ROKAS30_PIPOTI01", name: "Stonemason Pipoti's Friend",  quest: { name: "ROKAS30_PIPOTI01" } },
{ id: 1054, className: "SSN_ROKAS30_PIPOTI02", name: "Treasure Map of the Stonemason's Family (1)",  quest: { name: "ROKAS30_PIPOTI02" } },
{ id: 1055, className: "SSN_ROKAS30_PIPOTI03", name: "Treasure Map of the Stonemason's Family (2)",  quest: { name: "ROKAS30_PIPOTI03" } },
{ id: 1056, className: "SSN_ROKAS30_PIPOTI04", name: "Treasure Map of the Stonemason's Family (3)",  quest: { name: "ROKAS30_PIPOTI04" } },
{ id: 1057, className: "SSN_ROKAS30_PIPOTI05", name: "Treasure Map of the Stonemason's Family (4)",  quest: { name: "ROKAS30_PIPOTI05" } },
{ id: 1059, className: "SSN_ROKAS29_VACYS2", name: "Attacked Adventurer",  quest: { name: "ROKAS29_VACYS2" } },
{ id: 1060, className: "SSN_ROKAS29_VACYS3", name: "Incinerate the Adventurer's Journal (1)",  quest: { name: "ROKAS29_VACYS3" } },
{ id: 1061, className: "SSN_ROKAS29_VACYS4", name: "Incinerate the Adventurer's Journal (2)",  quest: { name: "ROKAS29_VACYS4" } },
{ id: 1062, className: "SSN_ROKAS29_VACYS5", name: "Incinerate the Adventurer's Journal (3)",  quest: { name: "ROKAS29_VACYS5" } },
{ id: 1063, className: "SSN_ROKAS29_VACYS6", name: "Incinerate the Adventurer's Journal (4)",  quest: { name: "ROKAS29_VACYS6" } },
{ id: 1064, className: "SSN_ROKAS29_VACYS7", name: "Memorial Stone of adventure (1)",  quest: { name: "ROKAS29_VACYS7" } },
{ id: 1072, className: "SSN_ROKAS26_MQ1", name: "The Keys Within the Spatial Gap",  quest: { name: "ROKAS26_MQ1" } },
{ id: 1073, className: "SSN_JOB_BARBARIAN2", name: "Rough Advancement [Barbarian Advancement]",  quest: { name: "JOB_BARBARIAN2" } },
{ id: 1074, className: "SSN_JOB_HOPLITE2", name: "Bright Future [Hoplite Advancement]",  quest: { name: "JOB_HOPLITE2" } },
{ id: 1075, className: "SSN_JOB_PSYCHOKINESIST2_1", name: "Bothersome Mission [Psychokino Advancement] (1)",  quest: { name: "JOB_PSYCHOKINESIST2_1" } },
{ id: 1077, className: "SSN_JOB_LINKER2_1", name: "Non-existent Book [Linker Advancement] (1)",  quest: { name: "JOB_LINKER2_1" } },
{ id: 1078, className: "SSN_JOB_LINKER2_2", name: "Non-existent Book [Linker Advancement] (2)",  quest: { name: "JOB_LINKER2_2", monsterNameGroup: [ "Treasure_box_table" ], monsterView: [ 1 ] } },
{ id: 1079, className: "SSN_JOB_SAPPER2_1", name: "Guilty Conscience [Sapper Advancement] (1)",  quest: { name: "JOB_SAPPER2_1" } },
{ id: 1083, className: "SSN_JOB_HUNTER2_1", name: "A Bower's Dream Book [Hunter Advancement] (1)",  quest: { name: "JOB_HUNTER2_1" } },
{ id: 1084, className: "SSN_JOB_HUNTER2_2", name: "Dream Book of the Bow [Hunter Advancement] (2)",  quest: { name: "JOB_HUNTER2_2" } },
{ id: 1085, className: "SSN_JOB_HUNTER2_3", name: "Dream Book of the Bow [Hunter Advancement] (3)",  quest: { name: "JOB_HUNTER2_3", infoName: [ "Collect Stone to craft with" ], infoMaxCount: [ 3 ] } },
{ id: 1087, className: "SSN_JOB_QUARREL2_1", name: "Dream Book of the Bow 2 [Quarrel Shooter Advancement] (1)",  quest: { name: "JOB_QUARREL2_1" } },
{ id: 1089, className: "SSN_JOB_QUARREL2_3", name: "Dream Book of the Bow 2 [Quarrel Shooter Advancement] (3)",  quest: { name: "JOB_QUARREL2_3", infoName: [ "Collect Stone to craft with" ], infoMaxCount: [ 3 ] } },
